,BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
2190,21-113423,False,False,False,False,True,False,False,
2191,21-113424,False,False,False,True,False,False,False,
2192,21-113427,False,False,False,False,True,False,False,
2193,21-113430,False,False,False,False,True,False,False,
2194,21-113432,False,False,False,False,False,False,False,
2195,21-113433,False,False,False,True,False,False,False,
2196,21-113434,False,False,False,False,True,False,False,
2197,21-113436,False,False,False,False,True,False,False,
2198,21-113438,False,False,False,False,False,False,True,
2199,21-113439,False,False,False,False,False,False,True,
2200,21-113440,False,False,False,False,False,False,True,
2201,21-113449,False,False,False,False,False,False,False,
2202,21-113453,False,False,False,False,True,False,False,
2203,21-113455,False,False,False,False,False,True,False,
2204,21-113456,False,False,False,True,False,False,False,
2205,21-113457,False,False,False,False,False,False,True,
2206,21-113459,False,False,False,True,False,False,False,
2207,21-113460,False,False,False,False,True,False,False,
2208,21-113461,False,False,False,False,True,False,False,
2209,21-113463,False,False,False,False,True,False,False,
2210,21-113474,False,False,False,False,True,False,False,
2211,21-113478,False,False,False,False,False,False,True,
2212,21-113479,False,False,True,False,False,False,False,
2213,21-113487,False,False,False,False,True,False,False,
2214,21-113488,False,True,False,False,False,False,False,
2215,21-113489,False,False,False,False,False,False,True,
2216,21-113490,False,False,False,False,True,False,False,
2217,21-113491,False,False,False,False,False,False,True,
2218,21-113494,False,False,False,False,False,False,False,
2219,21-113503,False,False,False,False,False,False,True,
2220,21-113505,False,False,False,True,False,False,False,
2221,21-113507,False,False,False,False,False,False,False,
2222,21-113508,False,False,False,False,True,False,False,
2223,21-113511,False,False,False,False,False,False,True,
2224,21-113517,False,False,False,False,False,False,True,
2225,21-113520,False,False,False,False,False,False,True,
2226,21-113523,False,False,False,False,False,False,True,
2227,21-113525,False,False,False,False,True,False,False,
2228,21-113527,False,True,False,False,False,False,False,
2229,21-113528,False,False,False,False,False,False,False,
2230,21-113530,False,False,False,False,False,False,True,
2231,21-113533,False,True,False,False,False,False,False,
2232,21-113536,False,False,False,False,False,False,True,
2233,21-113538,False,False,False,False,True,False,False,
2234,21-113550,False,False,False,False,False,False,True,
2235,21-113552,False,False,False,False,False,False,True,
2236,21-113558,False,False,False,False,False,False,False,
2237,21-113562,False,True,False,False,False,False,False,
2238,21-113567,False,True,False,False,False,False,False,
2239,21-113571,False,False,False,False,False,False,True,
2240,21-113575,False,False,False,False,False,False,True,
2241,21-113578,False,False,False,True,False,False,False,
2242,21-113582,False,False,False,False,True,False,False,
2243,21-113584,False,False,False,False,False,False,False,
2244,21-113587,False,False,False,False,False,False,True,
2245,21-113588,False,False,False,False,False,False,True,
2246,21-113590,False,False,False,False,False,False,True,
2247,21-113591,False,False,False,False,False,False,True,
2248,21-113593,False,False,False,False,False,False,True,
2249,21-113596,False,False,False,False,False,False,True,
2250,21-113600,False,False,False,True,False,False,False,
2251,21-113601,False,False,False,False,True,False,False,
2252,21-113604,False,False,False,False,True,False,False,
2253,21-113606,False,False,False,False,False,False,False,
2254,21-113608,False,False,False,True,False,False,False,
2255,21-113611,False,False,False,False,True,False,False,
2256,21-113613,False,False,False,False,True,False,False,
2257,21-113618,False,False,False,False,True,False,False,
2258,21-113620,False,False,False,False,False,False,True,
2259,21-113624,False,False,False,False,False,False,False,
2260,21-113625,False,False,False,False,False,False,True,
2261,21-113626,False,False,False,True,False,False,False,
2262,21-113629,False,False,False,False,True,False,False,
2263,21-113630,False,False,False,False,True,False,False,
2264,21-113631,False,False,False,False,False,False,True,
2265,21-113636,False,False,False,True,False,False,False,
2266,21-113641,False,False,False,True,False,False,False,
2267,21-113643,False,False,False,False,False,False,False,
2268,21-113644,False,False,False,False,True,False,False,
2269,21-113647,False,False,False,False,True,False,False,
2270,21-113648,False,False,False,False,False,False,True,
2271,21-113653,False,False,False,False,False,True,False,
2272,21-113655,False,False,False,False,False,False,True,
2273,21-113656,False,False,False,False,False,False,False,
2274,21-113660,False,False,False,False,False,False,True,
2275,21-113663,False,False,False,False,False,True,False,
2276,21-113665,False,False,False,False,True,False,False,
2277,21-113667,False,False,False,False,True,False,False,
2278,21-113668,False,False,False,False,True,False,False,
2279,21-113669,False,True,False,False,False,False,False,
2280,21-113675,False,False,False,False,False,False,False,
2281,21-113676,False,False,False,False,False,False,False,
2282,21-113677,False,False,False,False,False,True,False,
2283,21-113680,False,True,False,False,False,False,False,
2284,21-113682,False,False,False,False,False,False,True,
2285,21-113683,False,False,False,False,False,False,True,
2286,21-113684,False,False,False,False,False,False,True,
2287,21-113691,False,False,False,False,True,False,False,
2288,21-113692,False,True,False,False,False,False,False,
2289,21-113698,False,False,False,False,False,False,False,
2290,21-113701,False,True,False,False,False,False,False,
2291,21-113703,False,False,False,False,False,True,False,
2292,21-113706,False,False,False,False,False,False,True,
2293,21-113708,False,False,False,True,False,False,False,
2294,21-113715,False,True,False,False,False,False,False,
2295,21-113718,False,False,False,False,True,False,False,
2296,21-113721,False,False,False,False,True,False,False,
2297,21-113726,False,False,False,False,True,False,False,
2298,21-113729,False,True,False,False,False,False,False,
2299,21-113732,False,True,False,False,False,False,False,
2300,21-113736,False,False,False,False,False,False,False,
2301,21-113738,False,True,False,False,False,False,False,
2302,21-113739,False,False,False,False,False,False,True,
2303,21-113745,False,False,False,False,True,False,False,
2304,21-113746,False,False,False,False,True,False,False,
2305,21-113747,False,True,False,False,False,False,False,
