BOAMP_AVIS_NUM,D_11_01_Conditiondelai_Receptcandidat,D_11_02_Conditiondelai_Receptoffres,D_11_03_Conditiondelai_Limiteenvoiinvit,D_11_04_Conditiondelai_Validiteoffre,D_11_04_01_Conditiondelai_Validiteoffre_Jusquau,D_11_04_02_Conditiondelai_Validiteoffre_Dureemois,D_11_04_03_Conditiondelai_Validiteoffre_Dureejour,D_11_05_Conditiondelai_Dureesystemequalification
21-65267,,2021-06-08 11:00:00,,CF_NIV_SUIV,,5.0,,
21-65268,,2021-06-14 16:00:00,,CF_NIV_SUIV,,,,
21-65269,,2021-06-04 15:00:00,,CF_NIV_SUIV,,,90.0,
21-65270,,2021-06-11 11:00:00,,CF_NIV_SUIV,,,120.0,
21-65273,,2021-06-21 11:00:00,,CF_NIV_SUIV,,5.0,,
21-65274,,2021-06-15 15:30:00,,CF_NIV_SUIV,,8.0,,
21-65275,,2021-06-03 15:00:00,,CF_NIV_SUIV,,,120.0,
21-65276,,2021-06-04 11:00:00,,CF_NIV_SUIV,,,90.0,
21-65278,,2021-06-07 11:00:00,,CF_NIV_SUIV,,,120.0,
21-65284,,2021-06-10 11:00:00,,CF_NIV_SUIV,,,90.0,
21-65285,,2021-06-18 16:00:00,,CF_NIV_SUIV,,,,
21-65288,,2021-06-04 15:00:00,,CF_NIV_SUIV,,,120.0,
21-65289,,2021-06-21 10:00:00,,CF_NIV_SUIV,,6.0,,
21-65290,,2021-06-21 15:00:00,,CF_NIV_SUIV,,8.0,,
21-65291,,2021-06-07 11:00:00,,CF_NIV_SUIV,,,120.0,
21-65292,,2021-06-17 11:00:00,,CF_NIV_SUIV,,,,
21-65293,,2021-06-30 11:00:00,,CF_NIV_SUIV,,,,
21-65294,,2021-06-14 11:30:00,,CF_NIV_SUIV,,,,
21-65296,,2021-06-11 11:00:00,,CF_NIV_SUIV,,,,
21-65297,,2021-06-15 11:00:00,,CF_NIV_SUIV,,4.0,,
21-65298,,2021-06-17 11:00:00,,CF_NIV_SUIV,,3.0,,
21-65299,,2021-06-07 11:00:00,,CF_NIV_SUIV,,4.0,,
21-65301,,2021-06-17 11:00:00,,CF_NIV_SUIV,,6.0,,
21-65302,,2021-06-15 16:00:00,,CF_NIV_SUIV,,4.0,,
21-65303,,2021-06-10 11:00:00,,CF_NIV_SUIV,,,180.0,
21-65304,,2021-06-11 11:00:00,,CF_NIV_SUIV,,4.0,,
21-65310,,2021-06-07 11:00:00,,CF_NIV_SUIV,,,90.0,
21-65313,,2021-06-01 11:00:00,,CF_NIV_SUIV,,,120.0,
21-65314,,2021-06-14 15:30:00,,CF_NIV_SUIV,,4.0,,
21-65315,,2021-06-21 11:00:00,,CF_NIV_SUIV,,,,
21-65316,,2021-06-14 15:00:00,2021-06-21 22:00:00,CF_NIV_SUIV,,,,
21-65317,,2021-06-15 13:00:00,,CF_NIV_SUIV,,8.0,,
21-65318,,2021-06-14 10:30:00,,CF_NIV_SUIV,,,120.0,
21-65320,,2021-06-21 17:00:00,,CF_NIV_SUIV,,,,
21-65321,,2021-06-17 10:00:00,,CF_NIV_SUIV,,4.0,,
21-65323,,2021-06-17 11:00:00,,CF_NIV_SUIV,,4.0,,
21-65329,,2021-06-11 11:00:00,,CF_NIV_SUIV,,,120.0,
21-65330,,2021-06-15 11:00:00,,CF_NIV_SUIV,,,,
21-65331,,2021-06-17 16:00:00,,CF_NIV_SUIV,,4.0,,
21-65332,,2021-06-18 11:00:00,,CF_NIV_SUIV,,,,
21-65335,,2021-06-04 19:00:00,,CF_NIV_SUIV,,,,
21-65337,,2021-06-16 11:00:00,,CF_NIV_SUIV,,4.0,,
21-65338,,2021-06-14 14:00:00,,CF_NIV_SUIV,,,120.0,
21-65339,,2021-06-04 16:00:00,,CF_NIV_SUIV,,4.0,,
21-65348,,2021-06-09 16:00:00,,CF_NIV_SUIV,,6.0,,
21-65350,,2021-06-11 15:00:00,,CF_NIV_SUIV,,,120.0,
21-65351,,2021-06-07 15:00:00,,CF_NIV_SUIV,,,120.0,
21-65352,,2021-06-14 09:00:00,,CF_NIV_SUIV,,3.0,,
21-65353,,2021-06-18 11:00:00,,CF_NIV_SUIV,,4.0,,
