,BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
207,21-146447,False,False,False,False,False,False,True,
208,21-146448,False,False,False,False,False,False,False,
209,21-146455,False,False,False,False,True,False,False,
210,21-146456,False,False,False,False,True,False,False,
211,21-146461,False,False,False,True,False,False,False,
212,21-146468,False,False,False,False,True,False,False,
213,21-146469,False,False,False,False,True,False,False,
214,21-146470,False,False,False,False,True,False,False,
215,21-146476,False,False,False,False,False,False,True,
216,21-146477,False,False,False,False,True,False,False,
217,21-146479,False,False,False,False,True,False,False,
218,21-146480,False,False,False,False,False,False,True,
219,21-146485,False,False,False,False,False,False,True,
220,21-146487,False,False,False,False,True,False,False,
221,21-146488,False,False,False,False,True,False,False,
222,21-146490,False,False,False,False,False,False,True,
223,21-146493,False,False,False,False,False,False,True,
224,21-146499,False,False,False,False,True,False,False,
225,21-146501,False,True,False,False,False,False,False,
226,21-146504,False,False,False,False,True,False,False,
227,21-146505,False,False,False,False,True,False,False,
228,21-146506,False,False,False,False,True,False,False,
229,21-146509,False,False,False,False,False,False,True,
230,21-146517,False,False,False,False,True,False,False,
231,21-146520,False,False,False,False,True,False,False,
232,21-146521,False,False,False,False,False,False,False,
233,21-146522,False,False,False,False,False,False,True,
234,21-146539,False,True,False,False,False,False,False,
235,21-146540,False,False,False,False,True,False,False,
236,21-146541,False,False,False,False,True,False,False,
237,21-146544,False,False,True,False,False,False,False,
238,21-146547,False,False,False,False,False,False,True,
239,21-146553,False,False,False,False,True,False,False,
240,21-146555,False,False,False,False,True,False,False,
241,21-146556,False,False,False,False,False,False,True,
242,21-146557,False,True,False,False,False,False,False,
243,21-146558,False,False,False,False,True,False,False,
244,21-146562,False,False,False,False,True,False,False,
245,21-146563,False,False,False,False,True,False,False,
246,21-146564,False,False,False,True,False,False,False,
247,21-146565,False,False,False,False,True,False,False,
248,21-146566,False,False,False,False,True,False,False,
249,21-146568,False,False,False,False,False,False,True,
250,21-146569,False,False,False,False,False,False,False,
251,21-146570,False,False,False,False,False,False,True,
252,21-146571,False,False,False,False,False,False,True,
253,21-146573,False,False,False,False,False,False,True,
254,21-146575,False,False,False,False,True,False,False,
255,21-146580,False,False,False,True,False,False,False,
256,21-146585,False,False,False,False,True,False,False,
257,21-146587,False,False,False,False,True,False,False,
258,21-146592,False,False,False,False,False,False,True,
259,21-146593,False,False,False,True,False,False,False,
260,21-146595,False,False,False,False,False,False,True,
261,21-146596,False,False,False,False,True,False,False,
262,21-146597,False,False,False,False,True,False,False,
263,21-146598,False,False,False,False,False,False,True,
264,21-146599,False,False,False,True,False,False,False,
265,21-146605,False,False,False,False,True,False,False,
266,21-146608,False,False,False,False,False,True,False,
267,21-146609,False,False,False,False,False,False,True,
268,21-146611,False,False,False,True,False,False,False,
269,21-146612,False,False,False,False,True,False,False,
270,21-146613,False,False,False,False,False,True,False,
271,21-146616,False,False,False,False,False,False,False,
272,21-146623,False,False,False,False,False,False,False,
273,21-146628,False,False,False,False,False,True,False,
274,21-146632,False,False,False,True,False,False,False,
275,21-146635,False,False,False,False,True,False,False,
276,21-146642,False,False,False,False,False,False,True,
277,21-146643,False,False,False,False,False,False,True,
278,21-146645,False,False,False,True,False,False,False,
279,21-146646,False,False,False,False,False,False,True,
280,21-146649,False,False,False,False,True,False,False,
281,21-146653,False,False,False,False,False,False,False,
282,21-146661,False,False,False,False,True,False,False,
283,21-146666,False,False,False,False,False,False,False,
284,21-146669,False,False,False,False,False,True,False,
285,21-146670,False,False,False,False,False,False,True,
286,21-146674,False,False,False,False,False,True,False,
287,21-146678,False,False,False,False,False,False,True,
288,21-146681,False,False,False,True,False,False,False,
289,21-146684,False,False,False,False,False,False,True,
290,21-146685,False,False,False,False,False,True,False,
291,21-146686,False,False,False,False,False,False,True,
292,21-146696,False,False,False,False,False,False,True,
293,21-146701,False,False,False,False,False,False,True,
294,21-146704,False,False,False,False,True,False,False,
295,21-146705,False,False,False,False,False,False,True,
296,21-146709,False,False,False,False,False,False,True,
297,21-146712,False,False,False,False,False,False,True,
298,21-146714,False,False,False,False,False,False,False,
299,21-146717,False,False,False,False,True,False,False,
300,21-146718,False,False,False,False,False,False,True,
301,21-146719,False,False,False,False,True,False,False,
302,21-146722,False,False,False,True,False,False,False,
303,21-146724,False,False,False,False,True,False,False,
304,21-146729,False,False,False,False,True,False,False,
305,21-146730,False,False,False,False,True,False,False,
306,21-146735,False,False,False,False,False,False,True,
307,21-146736,False,False,False,False,True,False,False,
308,21-146743,False,False,False,False,True,False,False,
309,21-146745,False,False,False,False,False,False,True,
310,21-146746,False,False,False,False,False,False,True,
311,21-146748,False,False,False,False,False,False,False,
312,21-146754,False,False,False,False,True,False,False,
313,21-146757,False,False,False,False,True,False,False,
314,21-146762,False,False,False,True,False,False,False,
315,21-146763,False,False,False,True,False,False,False,
316,21-146766,False,False,False,False,True,False,False,
317,21-146767,False,False,False,False,False,False,True,
318,21-146768,False,False,False,False,True,False,False,
319,21-146769,False,False,False,False,True,False,False,
320,21-146771,False,False,False,False,True,False,False,
321,21-146772,False,False,False,False,True,False,False,
322,21-146773,False,False,False,False,True,False,False,
323,21-146774,False,False,False,False,True,False,False,
324,21-146776,False,False,False,False,True,False,False,
325,21-146782,False,False,False,True,False,False,False,
326,21-146784,False,False,False,False,True,False,False,
327,21-146790,False,False,False,False,True,False,False,
328,21-146795,False,False,False,False,True,False,False,
329,21-146799,False,False,False,False,True,False,False,
330,21-146803,False,True,False,False,False,False,False,
331,21-146804,False,False,False,False,True,False,False,
332,21-146808,False,False,False,False,False,False,True,
333,21-146816,False,False,False,False,False,False,True,
334,21-146821,False,True,False,False,False,False,False,
335,21-146824,False,False,False,True,False,False,False,
336,21-146825,False,False,False,False,False,False,True,
337,21-146826,False,False,False,False,False,False,False,
338,21-146834,False,False,False,False,True,False,False,
339,21-146838,False,False,False,False,False,False,False,
340,21-146839,False,False,False,False,False,False,False,
341,21-146841,False,False,False,False,False,False,True,
342,21-146843,False,False,False,False,False,False,True,
343,21-146845,False,False,False,False,True,False,False,
344,21-146848,False,False,False,True,False,False,False,
345,21-146850,False,False,False,False,False,False,True,
346,21-146853,False,False,False,False,False,False,True,
347,21-146857,False,False,False,False,True,False,False,
348,21-146860,False,False,False,False,True,False,False,
349,21-146861,False,False,False,False,False,True,False,
350,21-146865,False,False,False,False,False,True,False,
351,21-146867,False,False,False,False,False,False,False,
352,21-146872,False,False,False,False,True,False,False,
353,21-146874,False,False,False,False,False,False,True,
354,21-146876,False,False,False,False,False,False,True,
355,21-146878,False,False,False,False,False,False,False,
356,21-146880,False,False,False,False,False,False,False,
357,21-146881,False,False,False,False,False,False,True,
358,21-146884,False,False,False,False,False,False,True,
359,21-146885,False,False,False,False,False,False,True,
360,21-146886,False,False,False,True,False,False,False,
361,21-146887,False,False,False,False,False,True,False,
362,21-146888,False,False,False,False,False,False,False,
363,21-146889,False,False,False,False,True,False,False,
364,21-146897,False,False,False,False,False,False,False,
365,21-146901,False,False,False,False,False,False,False,
366,21-146904,False,False,False,False,False,False,True,
367,21-146905,False,False,False,False,False,True,False,
368,21-146909,False,False,False,False,False,False,False,
369,21-146912,False,False,False,False,False,False,True,
370,21-146913,False,False,False,False,True,False,False,
371,21-146915,False,False,False,False,False,False,True,
372,21-146925,False,False,False,False,True,False,False,
373,21-146926,False,False,False,False,False,False,False,
374,21-146927,False,False,False,False,True,False,False,
375,21-146953,False,False,False,False,False,True,False,
376,21-146954,False,False,False,False,True,False,False,
377,21-146959,False,False,False,False,False,False,True,
378,21-146960,False,False,False,False,True,False,False,
379,21-146962,False,False,False,False,True,False,False,
380,21-146963,False,False,False,False,False,True,False,
381,21-146964,False,True,False,False,False,False,False,
382,21-146967,False,False,False,False,True,False,False,
383,21-146969,False,True,False,False,False,False,False,
384,21-146970,False,False,False,False,True,False,False,
385,21-146973,False,True,False,False,False,False,False,
386,21-146979,False,False,False,False,True,False,False,
387,21-146980,False,False,False,False,False,False,True,
388,21-146981,False,False,False,False,False,False,True,
389,21-146984,False,False,False,False,True,False,False,
390,21-146988,False,False,False,False,True,False,False,
391,21-146993,False,False,False,False,False,False,True,
392,21-146994,False,False,False,False,False,False,False,
393,21-146998,False,False,False,False,False,False,True,
394,21-147001,False,False,False,False,True,False,False,
395,21-147002,False,False,False,False,False,False,False,
396,21-147003,False,False,False,False,True,False,False,
397,21-147010,False,True,False,False,False,False,False,
398,21-147011,False,False,False,False,False,False,False,
399,21-147012,False,False,False,False,False,False,True,
400,21-147013,False,False,False,False,True,False,False,
401,21-147014,False,False,False,False,True,False,False,
402,21-147018,False,False,False,False,False,False,False,
403,21-147019,False,False,False,False,False,False,False,
404,21-147020,False,False,False,False,True,False,False,
405,21-147021,False,True,False,False,False,False,False,
406,21-147026,False,True,False,False,False,False,False,
407,21-147029,False,False,False,False,False,False,False,
408,21-147030,False,True,False,False,False,False,False,
409,21-147033,False,False,False,False,False,False,True,
410,21-147036,False,False,False,False,False,True,False,
411,21-147037,False,False,False,False,False,False,False,
412,21-147038,False,False,False,False,True,False,False,
413,21-147039,False,True,False,False,False,False,False,
414,21-147040,False,False,False,False,True,False,False,
415,21-147042,False,False,False,False,False,True,False,
416,21-147043,False,False,False,False,True,False,False,
417,21-147047,False,True,False,False,False,False,False,
418,21-147049,False,False,False,False,False,False,False,
419,21-147050,False,False,False,False,False,False,False,
420,21-147053,False,False,True,False,False,False,False,
421,21-147055,False,False,False,False,False,True,False,
422,21-147062,False,False,False,False,False,False,False,
423,21-147068,False,False,False,False,True,False,False,
424,21-147073,False,False,False,False,True,False,False,
425,21-147074,False,False,False,False,False,False,True,
426,21-147075,False,False,False,False,True,False,False,
427,21-147076,False,False,False,False,True,False,False,
428,21-147077,False,False,False,True,False,False,False,
429,21-147078,False,False,False,False,True,False,False,
430,21-147079,False,False,False,False,True,False,False,
431,21-147080,False,False,False,True,False,False,False,
432,21-147083,False,False,False,False,False,False,False,
433,21-147085,False,False,False,False,False,False,True,
434,21-147098,False,True,False,False,False,False,False,
435,21-147100,False,False,False,False,False,True,False,
436,21-147103,False,False,False,False,True,False,False,
437,21-147109,False,False,False,False,False,False,True,
438,21-147114,False,False,False,False,True,False,False,
439,21-147115,False,False,False,True,False,False,False,
440,21-147116,False,False,False,False,True,False,False,
441,21-147119,False,False,False,False,True,False,False,
442,21-147125,False,False,False,False,True,False,False,
443,21-147126,False,False,False,False,True,False,False,
444,21-147127,False,False,False,False,False,False,True,
445,21-147128,False,False,False,False,False,False,True,
446,21-147131,False,False,False,False,False,False,True,
447,21-147135,False,True,False,False,False,False,False,
448,21-147136,False,True,False,False,False,False,False,
449,21-147137,False,False,False,False,False,False,False,
450,21-147140,False,True,False,False,False,False,False,
451,21-147144,False,False,False,False,True,False,False,
452,21-147146,False,False,False,False,False,True,False,
453,21-147151,False,False,False,False,False,False,False,
454,21-147160,False,False,False,False,False,True,False,
455,21-147162,False,False,False,False,True,False,False,
456,21-147163,False,False,False,False,False,False,True,
457,21-147170,False,False,False,False,False,True,False,
458,21-147171,False,False,False,False,False,False,False,
459,21-147173,False,False,False,False,False,False,True,
460,21-147180,False,False,False,False,False,False,True,
461,21-147186,False,False,False,False,True,False,False,
462,21-147188,False,False,False,False,True,False,False,
463,21-147192,False,False,False,False,False,False,False,
464,21-147194,False,True,False,False,False,False,False,
465,21-147200,False,False,False,False,True,False,False,
466,21-147201,False,False,False,False,True,False,False,
467,21-147204,False,False,False,False,True,False,False,
468,21-147206,False,False,False,False,True,False,False,
469,21-147207,False,False,False,False,True,False,False,
470,21-147209,False,False,False,False,True,False,False,
471,21-147212,False,False,False,True,False,False,False,
472,21-147220,False,False,False,False,False,False,False,
473,21-147222,False,False,False,False,False,False,False,
474,21-147224,False,False,False,False,True,False,False,
475,21-147225,False,False,False,False,False,False,False,
476,21-147227,False,False,False,False,False,False,True,
477,21-147237,False,False,False,False,False,False,False,
478,21-147238,False,False,False,False,False,False,False,
479,21-147242,False,False,False,False,False,False,False,
480,21-147243,False,False,False,False,False,False,False,
481,21-147250,False,False,True,False,False,False,False,
482,21-147251,False,True,False,False,False,False,False,
483,21-147253,False,False,False,True,False,False,False,
484,21-147254,False,False,False,False,False,False,True,
485,21-147257,False,True,False,False,False,False,False,
486,21-147260,False,False,False,True,False,False,False,
487,21-147262,False,False,False,False,False,False,True,
488,21-147265,False,False,False,False,True,False,False,
489,21-147266,False,True,False,False,False,False,False,
